Aa,Ab,Ac,Ad,Ae,Af,ST01,SU02,D03,ST04,SU05,D06,D07,SU08,ST09,SU10,D11,ST12,SU13,D14,D15,SU16,ST17,SU18,D19,ST20,SU21,D22,D23,SU24,ST25,SU26,D27,ST28,SU29,D30,D31,SU32,Ca,Cb,Cc,Cd,Ce,Cf,Cg,Ch,Da,Db,Dc,Dd,De,Df,Dg,Dh,Di,Dj,Age,Attitude,Points,gender,deep,surf,stra
3,2,1,1,1,2,4,1,4,2,2,4,4,2,3,1,3,4,2,4,3,2,2,1,5,2,3,3,2,2,4,4,4,2,3,3,4,4,3,5,4,3,5,2,4,2,3,4,2,1,3,1,2,3,2,4,22,25,22,F,3.5833333333333335,2.25,2.875
1,2,2,1,1,1,1,1,1,4,2,1,2,2,5,3,2,5,1,2,2,3,3,1,1,4,4,2,2,2,5,1,1,4,1,2,1,1,1,1,3,2,2,4,3,1,2,1,1,1,1,5,2,5,2,1,22,21,26,F,1.5833333333333333,1.8333333333333333,3.875
2,1,1,1,1,1,2,4,5,2,2,3,4,4,2,2,4,4,3,4,2,3,4,1,3,1,2,3,2,4,4,4,2,1,2,4,4,4,3,1,2,3,1,3,1,3,1,1,3,1,2,1,1,1,1,2,22,14,11,F,3.3333333333333335,2.9166666666666665,2.5
1,2,3,2,1,1,4,4,5,2,2,4,5,2,2,3,5,2,2,5,4,2,3,3,5,2,4,4,4,2,5,5,3,2,3,4,4,3,2,4,5,2,2,1,5,4,2,4,3,2,1,1,2,1,1,2,23,19,29,F,4.333333333333333,2.9166666666666665,2.75
2,1,2,1,1,2,5,1,4,4,4,4,5,2,4,2,4,5,1,5,4,2,4,1,4,4,2,4,5,2,5,2,4,5,2,5,5,4,2,5,4,2,4,4,5,4,4,4,4,1,4,3,3,5,4,5,22,37,22,M,4.416666666666667,2.0833333333333335,4.5
3,1,1,1,1,1,4,1,5,4,3,5,5,1,4,1,5,3,1,5,5,2,3,1,5,4,4,5,4,4,4,4,4,1,1,5,5,5,1,5,3,1,4,3,5,3,1,4,3,5,3,4,2,4,2,4,23,32,21,M,4.833333333333333,2.3333333333333335,3.375
4,1,2,1,1,1,4,2,4,2,1,3,2,4,2,1,5,3,3,2,3,2,3,2,3,4,2,3,4,2,1,4,3,2,3,1,4,3,2,5,5,3,4,2,4,3,4,3,4,2,3,2,3,2,2,3,24,28,28,M,3.0833333333333335,2.4166666666666665,2.625
5,2,3,1,1,1,2,5,4,4,3,2,2,1,5,3,4,5,2,3,3,1,4,4,4,5,2,2,2,1,5,5,4,3,2,2,4,4,1,5,4,4,4,3,3,3,4,4,5,5,3,4,4,4,3,5,22,41,33,F,3,2.75,4.125
2,1,1,1,1,1,4,4,4,3,4,5,4,2,2,1,4,4,3,5,4,4,4,2,4,1,3,4,3,4,1,5,4,2,2,3,5,5,5,5,3,3,5,2,4,5,2,5,4,1,4,1,1,1,1,5,23,25,16,F,4.083333333333333,3.25,2.625
5,2,1,1,1,1,4,1,5,2,1,3,5,1,2,1,5,2,1,5,2,3,2,1,2,4,1,4,5,3,1,5,4,1,1,5,4,2,1,5,4,3,3,4,5,4,3,4,3,3,1,1,3,5,2,3,22,28,31,M,4.083333333333333,1.75,2.25
2,5,4,4,5,4,4,1,4,4,2,4,4,2,2,2,4,4,4,3,4,4,3,1,4,2,1,3,3,2,1,5,4,2,2,4,4,5,4,4,2,5,5,3,5,4,3,4,3,4,3,4,3,5,4,5,20,38,22,M,3.75,2.5833333333333335,2.75
3,3,3,2,1,3,4,5,4,2,3,3,3,2,4,4,4,3,3,3,2,2,2,4,4,4,2,2,2,5,4,4,4,1,2,3,3,4,3,4,4,4,4,2,3,5,3,4,3,4,3,2,2,3,4,3,22,31,31,M,3.0833333333333335,3.3333333333333335,3
4,1,1,1,1,1,3,3,5,1,3,5,5,4,2,3,5,1,3,5,4,1,3,1,5,1,2,5,5,2,1,3,3,1,4,5,5,5,4,5,4,1,2,5,5,4,3,3,5,4,5,1,3,3,3,5,21,35,23,M,4.75,2.8333333333333335,1.625
5,1,2,2,1,1,3,2,5,3,2,4,5,4,2,1,5,2,2,4,5,3,2,4,4,1,2,4,3,2,1,4,4,1,2,4,4,2,1,5,4,4,2,5,5,3,3,4,5,3,4,3,4,2,3,5,22,36,26,F,4.25,2.5,1.875
3,1,1,2,1,1,5,2,5,3,3,5,5,2,4,1,4,3,3,4,3,2,3,1,5,3,3,3,3,2,3,4,3,3,2,5,5,4,4,5,3,3,4,2,5,3,2,3,3,3,2,2,2,4,3,2,23,26,12,F,4.166666666666667,2.4166666666666665,3.375
3,1,3,1,1,1,5,3,5,5,2,3,5,3,5,3,4,3,1,5,3,3,5,1,5,2,2,5,4,2,2,3,4,3,2,5,5,4,2,5,4,3,3,3,5,5,3,5,5,5,5,3,4,4,5,5,21,44,26,M,4.416666666666667,2.4166666666666665,3.75
4,2,2,1,1,2,2,4,4,2,2,5,4,1,2,2,4,2,2,2,4,1,2,4,4,2,1,4,4,4,4,5,4,1,1,2,5,4,2,5,2,2,1,4,4,4,4,4,5,5,5,4,5,4,5,4,22,45,31,M,3.8333333333333335,2.5833333333333335,2.125
3,2,2,1,1,1,4,2,5,2,3,2,4,2,3,4,4,2,2,4,3,2,4,4,4,1,2,2,2,4,1,5,4,2,1,2,4,5,4,4,4,5,4,3,3,2,2,4,2,4,2,3,2,5,4,4,29,32,19,M,3.3333333333333335,3,2.375
3,2,2,1,1,2,3,2,4,3,3,2,3,2,4,1,4,2,2,4,2,1,4,2,4,2,2,2,2,2,1,1,4,3,2,4,3,4,2,5,3,4,5,3,4,4,4,4,5,5,5,2,4,2,3,5,29,39,30,F,3.1666666666666665,2,2.75
2,2,1,1,1,1,5,1,4,2,4,2,4,2,4,4,4,2,4,4,2,2,3,1,4,4,5,2,4,4,4,5,2,1,4,4,2,5,5,2,4,4,5,2,2,5,2,4,4,2,4,1,2,1,1,4,21,25,12,F,3.1666666666666665,3.4166666666666665,3.125
5,3,5,5,5,5,4,2,5,4,5,4,4,2,3,2,4,5,2,4,4,3,2,1,3,4,3,3,4,3,4,5,2,2,2,4,5,4,4,4,3,3,4,2,4,3,3,4,4,2,4,2,3,5,2,4,28,33,17,M,3.8333333333333335,2.8333333333333335,3.5
2,4,3,5,5,5,4,1,5,3,2,5,4,2,5,2,5,2,1,5,4,2,3,1,4,1,3,3,3,3,1,5,4,2,1,4,5,4,2,5,4,4,5,4,4,5,2,4,5,3,4,1,3,5,1,5,21,33,18,F,4.25,2.25,2.625
3,2,2,1,1,1,4,2,5,4,4,4,4,2,2,2,4,4,3,5,4,4,4,1,4,2,2,3,2,2,4,4,3,3,2,4,4,5,3,5,4,4,5,2,4,5,2,4,4,3,2,1,4,2,4,4,30,30,19,F,3.8333333333333335,2.75,3.375
2,2,1,1,1,1,4,4,5,2,3,2,4,3,1,4,5,2,4,4,2,4,3,2,5,1,5,4,2,4,4,5,4,1,4,2,5,5,3,5,5,4,5,4,5,3,1,5,4,4,4,1,3,1,2,4,21,29,21,F,3.6666666666666665,3.9166666666666665,2.25
3,1,2,1,1,1,4,3,5,3,3,4,4,2,2,1,4,3,2,4,4,2,3,2,2,4,3,2,4,2,3,4,4,2,2,5,4,2,2,4,4,3,4,4,4,3,3,3,4,4,3,1,4,3,4,4,23,33,24,M,3.8333333333333335,2.3333333333333335,3
3,5,5,5,5,5,4,1,4,3,4,2,4,1,4,2,4,4,1,4,4,3,4,1,4,4,4,3,4,4,5,4,4,4,3,4,5,5,4,4,3,4,4,2,4,4,3,4,4,4,4,1,3,2,4,4,21,33,28,F,3.8333333333333335,2.75,4
3,4,4,4,5,4,4,3,4,2,4,4,5,1,4,2,4,4,4,5,2,2,4,1,2,4,3,4,4,2,4,4,4,2,2,4,4,5,4,4,4,2,4,2,2,4,3,4,3,4,4,2,3,4,3,5,21,35,17,F,3.8333333333333335,2.75,3.5
